// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Nicho\Desktop\C#\BSSCalc\bin\Release\net7.0\6cb20979-f6f2-45ed-9c16-41ff78dfe275
// command took 3s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Nicho\Desktop\C#\BSSCalc\bin\Release\net7.0\6cb20979-f6f2-45ed-9c16-41ff78dfe275
// command took 6.41s and exited with 0
// ***** Done, took 00:00:09 (9.54 sec)   *****
// Found 1 benchmarks:
//   DateParserBenchmark.GetYearFromDateTime: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: DateParserBenchmark.GetYearFromDateTime: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 6cb20979-f6f2-45ed-9c16-41ff78dfe275.dll --anonymousPipes 1808 1812 --benchmarkName BSSCalculator.DateParserBenchmark.GetYearFromDateTime --job Default --benchmarkId 0 in C:\Users\Nicho\Desktop\C#\BSSCalc\bin\Release\net7.0\6cb20979-f6f2-45ed-9c16-41ff78dfe275\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.2 (7.0.222.60605), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 365700.00 ns, 365.7000 us/op
WorkloadJitting  1: 1 op, 26184800.00 ns, 26.1848 ms/op

OverheadJitting  2: 16 op, 387300.00 ns, 24.2063 us/op
WorkloadJitting  2: 16 op, 721400.00 ns, 45.0875 us/op

WorkloadPilot    1: 16 op, 35400.00 ns, 2.2125 us/op
WorkloadPilot    2: 32 op, 50600.00 ns, 1.5813 us/op
WorkloadPilot    3: 64 op, 68100.00 ns, 1.0641 us/op
WorkloadPilot    4: 128 op, 116000.00 ns, 906.2500 ns/op
WorkloadPilot    5: 256 op, 343800.00 ns, 1.3430 us/op
WorkloadPilot    6: 512 op, 737100.00 ns, 1.4396 us/op
WorkloadPilot    7: 1024 op, 1353100.00 ns, 1.3214 us/op
WorkloadPilot    8: 2048 op, 2465000.00 ns, 1.2036 us/op
WorkloadPilot    9: 4096 op, 4290400.00 ns, 1.0475 us/op
WorkloadPilot   10: 8192 op, 6919400.00 ns, 844.6533 ns/op
WorkloadPilot   11: 16384 op, 15152000.00 ns, 924.8047 ns/op
WorkloadPilot   12: 32768 op, 34756400.00 ns, 1.0607 us/op
WorkloadPilot   13: 65536 op, 60180700.00 ns, 918.2846 ns/op
WorkloadPilot   14: 131072 op, 126994700.00 ns, 968.8927 ns/op
WorkloadPilot   15: 262144 op, 173888400.00 ns, 663.3316 ns/op
WorkloadPilot   16: 524288 op, 292632700.00 ns, 558.1526 ns/op
WorkloadPilot   17: 1048576 op, 511503900.00 ns, 487.8081 ns/op

OverheadWarmup   1: 1048576 op, 2710300.00 ns, 2.5847 ns/op
OverheadWarmup   2: 1048576 op, 2292700.00 ns, 2.1865 ns/op
OverheadWarmup   3: 1048576 op, 3228800.00 ns, 3.0792 ns/op
OverheadWarmup   4: 1048576 op, 2513100.00 ns, 2.3967 ns/op
OverheadWarmup   5: 1048576 op, 2762300.00 ns, 2.6343 ns/op
OverheadWarmup   6: 1048576 op, 2573500.00 ns, 2.4543 ns/op

OverheadActual   1: 1048576 op, 2903900.00 ns, 2.7694 ns/op
OverheadActual   2: 1048576 op, 2695000.00 ns, 2.5702 ns/op
OverheadActual   3: 1048576 op, 2341300.00 ns, 2.2328 ns/op
OverheadActual   4: 1048576 op, 2752700.00 ns, 2.6252 ns/op
OverheadActual   5: 1048576 op, 2168500.00 ns, 2.0680 ns/op
OverheadActual   6: 1048576 op, 2294300.00 ns, 2.1880 ns/op
OverheadActual   7: 1048576 op, 2345700.00 ns, 2.2370 ns/op
OverheadActual   8: 1048576 op, 3135600.00 ns, 2.9903 ns/op
OverheadActual   9: 1048576 op, 2377100.00 ns, 2.2670 ns/op
OverheadActual  10: 1048576 op, 2457900.00 ns, 2.3440 ns/op
OverheadActual  11: 1048576 op, 2523500.00 ns, 2.4066 ns/op
OverheadActual  12: 1048576 op, 2477100.00 ns, 2.3623 ns/op
OverheadActual  13: 1048576 op, 2376300.00 ns, 2.2662 ns/op
OverheadActual  14: 1048576 op, 2651800.00 ns, 2.5290 ns/op
OverheadActual  15: 1048576 op, 3094100.00 ns, 2.9508 ns/op
OverheadActual  16: 1048576 op, 2687400.00 ns, 2.5629 ns/op
OverheadActual  17: 1048576 op, 3006200.00 ns, 2.8669 ns/op
OverheadActual  18: 1048576 op, 2917300.00 ns, 2.7822 ns/op
OverheadActual  19: 1048576 op, 2338400.00 ns, 2.2301 ns/op
OverheadActual  20: 1048576 op, 3392600.00 ns, 3.2354 ns/op

WorkloadWarmup   1: 1048576 op, 491381700.00 ns, 468.6181 ns/op
WorkloadWarmup   2: 1048576 op, 533020000.00 ns, 508.3275 ns/op
WorkloadWarmup   3: 1048576 op, 572852100.00 ns, 546.3143 ns/op
WorkloadWarmup   4: 1048576 op, 452082600.00 ns, 431.1396 ns/op
WorkloadWarmup   5: 1048576 op, 458440000.00 ns, 437.2025 ns/op
WorkloadWarmup   6: 1048576 op, 460980600.00 ns, 439.6254 ns/op
WorkloadWarmup   7: 1048576 op, 462771900.00 ns, 441.3337 ns/op
WorkloadWarmup   8: 1048576 op, 470094400.00 ns, 448.3170 ns/op
WorkloadWarmup   9: 1048576 op, 466665000.00 ns, 445.0464 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 474775700.00 ns, 452.7814 ns/op
WorkloadActual   2: 1048576 op, 504779000.00 ns, 481.3948 ns/op
WorkloadActual   3: 1048576 op, 458785900.00 ns, 437.5323 ns/op
WorkloadActual   4: 1048576 op, 463687000.00 ns, 442.2064 ns/op
WorkloadActual   5: 1048576 op, 460441100.00 ns, 439.1109 ns/op
WorkloadActual   6: 1048576 op, 463508300.00 ns, 442.0360 ns/op
WorkloadActual   7: 1048576 op, 485834000.00 ns, 463.3274 ns/op
WorkloadActual   8: 1048576 op, 492909700.00 ns, 470.0753 ns/op
WorkloadActual   9: 1048576 op, 634773000.00 ns, 605.3667 ns/op
WorkloadActual  10: 1048576 op, 603879400.00 ns, 575.9043 ns/op
WorkloadActual  11: 1048576 op, 518852500.00 ns, 494.8163 ns/op
WorkloadActual  12: 1048576 op, 573835300.00 ns, 547.2520 ns/op
WorkloadActual  13: 1048576 op, 532204500.00 ns, 507.5498 ns/op
WorkloadActual  14: 1048576 op, 497479600.00 ns, 474.4335 ns/op
WorkloadActual  15: 1048576 op, 494223200.00 ns, 471.3280 ns/op
WorkloadActual  16: 1048576 op, 470588700.00 ns, 448.7884 ns/op
WorkloadActual  17: 1048576 op, 477311100.00 ns, 455.1993 ns/op
WorkloadActual  18: 1048576 op, 474212900.00 ns, 452.2447 ns/op
WorkloadActual  19: 1048576 op, 511570000.00 ns, 487.8712 ns/op
WorkloadActual  20: 1048576 op, 497020300.00 ns, 473.9955 ns/op
WorkloadActual  21: 1048576 op, 585151300.00 ns, 558.0438 ns/op
WorkloadActual  22: 1048576 op, 512284600.00 ns, 488.5527 ns/op
WorkloadActual  23: 1048576 op, 665485800.00 ns, 634.6567 ns/op
WorkloadActual  24: 1048576 op, 563195000.00 ns, 537.1046 ns/op
WorkloadActual  25: 1048576 op, 494922200.00 ns, 471.9946 ns/op
WorkloadActual  26: 1048576 op, 463002200.00 ns, 441.5533 ns/op
WorkloadActual  27: 1048576 op, 465110700.00 ns, 443.5641 ns/op
WorkloadActual  28: 1048576 op, 477731700.00 ns, 455.6005 ns/op
WorkloadActual  29: 1048576 op, 534299300.00 ns, 509.5475 ns/op
