// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Nicho\Desktop\C#\BSSCalc\bin\Release\net7.0\e417c98a-eea6-4290-a5b7-50e5579f47e5
// command took 2.65s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Nicho\Desktop\C#\BSSCalc\bin\Release\net7.0\e417c98a-eea6-4290-a5b7-50e5579f47e5
// command took 5.86s and exited with 0
// ***** Done, took 00:00:08 (8.61 sec)   *****
// Found 2 benchmarks:
//   DateParserBenchmark.GetYearFromDateTime: DefaultJob
//   DateParserBenchmark.GetYearFromSplit: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: DateParserBenchmark.GetYearFromDateTime: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet e417c98a-eea6-4290-a5b7-50e5579f47e5.dll --anonymousPipes 536 1756 --benchmarkName BSSCalculator.DateParserBenchmark.GetYearFromDateTime --job Default --benchmarkId 0 in C:\Users\Nicho\Desktop\C#\BSSCalc\bin\Release\net7.0\e417c98a-eea6-4290-a5b7-50e5579f47e5\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.2 (7.0.222.60605), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 317500.00 ns, 317.5000 us/op
WorkloadJitting  1: 1 op, 29352900.00 ns, 29.3529 ms/op

OverheadJitting  2: 16 op, 257500.00 ns, 16.0938 us/op
WorkloadJitting  2: 16 op, 436900.00 ns, 27.3062 us/op

WorkloadPilot    1: 16 op, 29300.00 ns, 1.8313 us/op
WorkloadPilot    2: 32 op, 45600.00 ns, 1.4250 us/op
WorkloadPilot    3: 64 op, 67200.00 ns, 1.0500 us/op
WorkloadPilot    4: 128 op, 124200.00 ns, 970.3125 ns/op
WorkloadPilot    5: 256 op, 214300.00 ns, 837.1094 ns/op
WorkloadPilot    6: 512 op, 430100.00 ns, 840.0391 ns/op
WorkloadPilot    7: 1024 op, 928900.00 ns, 907.1289 ns/op
WorkloadPilot    8: 2048 op, 2493100.00 ns, 1.2173 us/op
WorkloadPilot    9: 4096 op, 3539700.00 ns, 864.1846 ns/op
WorkloadPilot   10: 8192 op, 6304100.00 ns, 769.5435 ns/op
WorkloadPilot   11: 16384 op, 13518900.00 ns, 825.1282 ns/op
WorkloadPilot   12: 32768 op, 23401300.00 ns, 714.1510 ns/op
WorkloadPilot   13: 65536 op, 60585200.00 ns, 924.4568 ns/op
WorkloadPilot   14: 131072 op, 92529700.00 ns, 705.9456 ns/op
WorkloadPilot   15: 262144 op, 154963500.00 ns, 591.1388 ns/op
WorkloadPilot   16: 524288 op, 241440500.00 ns, 460.5112 ns/op
WorkloadPilot   17: 1048576 op, 600480000.00 ns, 572.6624 ns/op

OverheadWarmup   1: 1048576 op, 3504400.00 ns, 3.3421 ns/op
OverheadWarmup   2: 1048576 op, 2826300.00 ns, 2.6954 ns/op
OverheadWarmup   3: 1048576 op, 3695200.00 ns, 3.5240 ns/op
OverheadWarmup   4: 1048576 op, 4083100.00 ns, 3.8939 ns/op
OverheadWarmup   5: 1048576 op, 3046000.00 ns, 2.9049 ns/op
OverheadWarmup   6: 1048576 op, 4088700.00 ns, 3.8993 ns/op
OverheadWarmup   7: 1048576 op, 3382400.00 ns, 3.2257 ns/op

OverheadActual   1: 1048576 op, 3867800.00 ns, 3.6886 ns/op
OverheadActual   2: 1048576 op, 2985900.00 ns, 2.8476 ns/op
OverheadActual   3: 1048576 op, 3411500.00 ns, 3.2535 ns/op
OverheadActual   4: 1048576 op, 3665000.00 ns, 3.4952 ns/op
OverheadActual   5: 1048576 op, 3480200.00 ns, 3.3190 ns/op
OverheadActual   6: 1048576 op, 3642100.00 ns, 3.4734 ns/op
OverheadActual   7: 1048576 op, 4640000.00 ns, 4.4250 ns/op
OverheadActual   8: 1048576 op, 2949700.00 ns, 2.8131 ns/op
OverheadActual   9: 1048576 op, 3341000.00 ns, 3.1862 ns/op
OverheadActual  10: 1048576 op, 4133600.00 ns, 3.9421 ns/op
OverheadActual  11: 1048576 op, 3421400.00 ns, 3.2629 ns/op
OverheadActual  12: 1048576 op, 3313200.00 ns, 3.1597 ns/op
OverheadActual  13: 1048576 op, 3915200.00 ns, 3.7338 ns/op
OverheadActual  14: 1048576 op, 2931600.00 ns, 2.7958 ns/op
OverheadActual  15: 1048576 op, 3326400.00 ns, 3.1723 ns/op
OverheadActual  16: 1048576 op, 3724900.00 ns, 3.5523 ns/op
OverheadActual  17: 1048576 op, 3803700.00 ns, 3.6275 ns/op
OverheadActual  18: 1048576 op, 3228800.00 ns, 3.0792 ns/op
OverheadActual  19: 1048576 op, 3171900.00 ns, 3.0250 ns/op
OverheadActual  20: 1048576 op, 4059900.00 ns, 3.8718 ns/op

WorkloadWarmup   1: 1048576 op, 544202400.00 ns, 518.9919 ns/op
WorkloadWarmup   2: 1048576 op, 450365600.00 ns, 429.5021 ns/op
WorkloadWarmup   3: 1048576 op, 454546800.00 ns, 433.4896 ns/op
WorkloadWarmup   4: 1048576 op, 446267600.00 ns, 425.5939 ns/op
WorkloadWarmup   5: 1048576 op, 470896800.00 ns, 449.0822 ns/op
WorkloadWarmup   6: 1048576 op, 458424600.00 ns, 437.1878 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 546564900.00 ns, 521.2449 ns/op
WorkloadActual   2: 1048576 op, 503778900.00 ns, 480.4410 ns/op
WorkloadActual   3: 1048576 op, 500531000.00 ns, 477.3436 ns/op
WorkloadActual   4: 1048576 op, 462691300.00 ns, 441.2568 ns/op
WorkloadActual   5: 1048576 op, 460811800.00 ns, 439.4644 ns/op
WorkloadActual   6: 1048576 op, 463004700.00 ns, 441.5557 ns/op
WorkloadActual   7: 1048576 op, 485832200.00 ns, 463.3257 ns/op
WorkloadActual   8: 1048576 op, 454883000.00 ns, 433.8102 ns/op
WorkloadActual   9: 1048576 op, 449044400.00 ns, 428.2421 ns/op
WorkloadActual  10: 1048576 op, 440388200.00 ns, 419.9869 ns/op
WorkloadActual  11: 1048576 op, 437623600.00 ns, 417.3504 ns/op
WorkloadActual  12: 1048576 op, 527355600.00 ns, 502.9255 ns/op
WorkloadActual  13: 1048576 op, 496892800.00 ns, 473.8739 ns/op
WorkloadActual  14: 1048576 op, 506646500.00 ns, 483.1758 ns/op
WorkloadActual  15: 1048576 op, 522247900.00 ns, 498.0544 ns/op
WorkloadActual  16: 1048576 op, 506402600.00 ns, 482.9432 ns/op
WorkloadActual  17: 1048576 op, 476850100.00 ns, 454.7597 ns/op
WorkloadActual  18: 1048576 op, 533551900.00 ns, 508.8347 ns/op
WorkloadActual  19: 1048576 op, 500859000.00 ns, 477.6564 ns/op
WorkloadActual  20: 1048576 op, 479498300.00 ns, 457.2852 ns/op
WorkloadActual  21: 1048576 op, 485665800.00 ns, 463.1670 ns/op
WorkloadActual  22: 1048576 op, 543878600.00 ns, 518.6831 ns/op
WorkloadActual  23: 1048576 op, 597793900.00 ns, 570.1007 ns/op
WorkloadActual  24: 1048576 op, 551144700.00 ns, 525.6125 ns/op
WorkloadActual  25: 1048576 op, 557631900.00 ns, 531.7992 ns/op
WorkloadActual  26: 1048576 op, 542877900.00 ns, 517.7287 ns/op
WorkloadActual  27: 1048576 op, 520351300.00 ns, 496.2457 ns/op
WorkloadActual  28: 1048576 op, 465703000.00 ns, 444.1290 ns/op
WorkloadActual  29: 1048576 op, 483558400.00 ns, 461.1572 ns/op
WorkloadActual  30: 1048576 op, 490463300.00 ns, 467.7423 ns/op
WorkloadActual  31: 1048576 op, 478095600.00 ns, 455.9475 ns/op
